layer,proj,M,N,params,sigma1,participation_ratio,stable_rank,decay_slope_top64
0,self_attn.q_proj,896,896,802816,34.69223403930664,125.26546478271484,3.026289224624634,-0.02723231439243304
0,self_attn.k_proj,128,896,114688,12.636697769165039,39.523555755615234,4.808485507965088,-0.040330317510620176
0,self_attn.v_proj,128,896,114688,0.6881644129753113,108.3336410522461,39.295921325683594,-0.01150884098363119
0,self_attn.o_proj,896,896,802816,2.6911659240722656,374.03009033203125,23.132091522216797,-0.011326295320706222
0,mlp.gate_proj,4864,896,4358144,6.333677291870117,765.9794921875,64.4219970703125,-0.016452978670105818
0,mlp.up_proj,4864,896,4358144,2.6170432567596436,835.1046142578125,248.1707763671875,-0.003867665057380996
0,mlp.down_proj,896,4864,4358144,4.544989585876465,832.4535522460938,80.27095031738281,-0.004659420199992459
1,self_attn.q_proj,896,896,802816,4.092824935913086,491.2525329589844,43.16685485839844,-0.011328619889805821
1,self_attn.k_proj,128,896,114688,2.450615644454956,106.2535629272461,33.272796630859375,-0.010129425689175506
1,self_attn.v_proj,128,896,114688,0.5822109580039978,122.32347869873047,65.72749328613281,-0.005072980977240067
1,self_attn.o_proj,896,896,802816,2.183037757873535,506.99969482421875,47.526554107666016,-0.0062417731107829435
1,mlp.gate_proj,4864,896,4358144,6.001445770263672,811.70751953125,73.714599609375,-0.006071126864943309
1,mlp.up_proj,4864,896,4358144,2.3131744861602783,845.1005249023438,281.4991760253906,-0.0024208599558243403
1,mlp.down_proj,896,4864,4358144,3.9427390098571777,833.4313354492188,96.311767578125,-0.005228773350298621
2,self_attn.q_proj,896,896,802816,2.8074238300323486,510.0572509765625,74.55995178222656,-0.006750694502677239
2,self_attn.k_proj,128,896,114688,2.1098663806915283,108.65375518798828,37.424747467041016,-0.00875980844942942
2,self_attn.v_proj,128,896,114688,0.5518922805786133,123.61247253417969,64.84004974365234,-0.004953107009931801
2,self_attn.o_proj,896,896,802816,2.7067692279815674,522.290283203125,31.153940200805664,-0.007260432957029597
2,mlp.gate_proj,4864,896,4358144,5.955073833465576,810.6286010742188,77.9265365600586,-0.008070172649218048
2,mlp.up_proj,4864,896,4358144,5.827402114868164,831.7839965820312,45.31510925292969,-0.003722637351397623
2,mlp.down_proj,896,4864,4358144,3.201413631439209,822.7274780273438,145.29103088378906,-0.004768856950513601
3,self_attn.q_proj,896,896,802816,2.7210097312927246,466.93316650390625,64.5315170288086,-0.008761345667443871
3,self_attn.k_proj,128,896,114688,1.9024685621261597,103.91709899902344,29.728702545166016,-0.00800390864247881
3,self_attn.v_proj,128,896,114688,0.744785487651825,121.43890380859375,63.35354232788086,-0.004688122880136794
3,self_attn.o_proj,896,896,802816,1.8025107383728027,510.1922912597656,77.96194458007812,-0.007408455643106092
3,mlp.gate_proj,4864,896,4358144,5.443403244018555,825.2025146484375,85.22740173339844,-0.006045467533416803
3,mlp.up_proj,4864,896,4358144,2.3651716709136963,844.1151733398438,279.6554870605469,-0.002071944854798767
3,mlp.down_proj,896,4864,4358144,3.413527011871338,816.7787475585938,133.4117431640625,-0.005936454400256437
4,self_attn.q_proj,896,896,802816,2.5530686378479004,499.9404296875,74.49051666259766,-0.007969134229989279
4,self_attn.k_proj,128,896,114688,1.6194605827331543,105.18057250976562,34.75852966308594,-0.010580866238624267
4,self_attn.v_proj,128,896,114688,0.8047102093696594,124.43817138671875,68.76610565185547,-0.004281640061665152
4,self_attn.o_proj,896,896,802816,1.8554044961929321,502.3170166015625,87.45700073242188,-0.005987834902787275
4,mlp.gate_proj,4864,896,4358144,6.593138217926025,799.085693359375,58.24342727661133,-0.008644030801269595
4,mlp.up_proj,4864,896,4358144,2.870452642440796,842.8281860351562,201.37681579589844,-0.002515496433654545
4,mlp.down_proj,896,4864,4358144,4.530513286590576,824.3324584960938,78.16276550292969,-0.0051194820689521876
5,self_attn.q_proj,896,896,802816,2.4602227210998535,491.1048889160156,74.75340270996094,-0.008365697919258048
5,self_attn.k_proj,128,896,114688,1.5108038187026978,103.06649017333984,36.0589599609375,-0.012320075145877398
5,self_attn.v_proj,128,896,114688,0.7711437344551086,125.12043762207031,77.53913879394531,-0.003768301882777677
5,self_attn.o_proj,896,896,802816,2.226409673690796,530.9920043945312,61.75572204589844,-0.004986838226960529
5,mlp.gate_proj,4864,896,4358144,8.984159469604492,772.655029296875,36.897239685058594,-0.008623005561667051
5,mlp.up_proj,4864,896,4358144,2.12127423286438,837.7211303710938,337.31121826171875,-0.0018591615388463248
5,mlp.down_proj,896,4864,4358144,3.8830320835113525,806.4102783203125,95.57788848876953,-0.005330522387073588
6,self_attn.q_proj,896,896,802816,2.682805299758911,472.7618408203125,67.40017700195312,-0.007327126774377436
6,self_attn.k_proj,128,896,114688,1.5199127197265625,106.08904266357422,43.594757080078125,-0.008636920614838714
6,self_attn.v_proj,128,896,114688,0.8268572688102722,118.98149108886719,51.66036605834961,-0.005717013439593408
6,self_attn.o_proj,896,896,802816,2.301860809326172,482.8298645019531,54.98783874511719,-0.00910747854871464
6,mlp.gate_proj,4864,896,4358144,6.354381084442139,808.3724975585938,59.7598991394043,-0.006319267467865154
6,mlp.up_proj,4864,896,4358144,2.5419387817382812,837.849853515625,270.8069763183594,-0.0020313220214603573
6,mlp.down_proj,896,4864,4358144,3.511300802230835,810.7276000976562,135.19773864746094,-0.004992464674643539
7,self_attn.q_proj,896,896,802816,2.590188980102539,499.9635314941406,71.26029205322266,-0.007924847600251542
7,self_attn.k_proj,128,896,114688,1.7114464044570923,106.19026947021484,32.97956085205078,-0.009253857570382976
7,self_attn.v_proj,128,896,114688,0.821974515914917,124.0327377319336,70.29560089111328,-0.004189740697897617
7,self_attn.o_proj,896,896,802816,1.6040103435516357,549.7005615234375,119.67069244384766,-0.0050726028367358445
7,mlp.gate_proj,4864,896,4358144,6.277731895446777,808.072998046875,57.583770751953125,-0.006392750017099332
7,mlp.up_proj,4864,896,4358144,2.6249873638153076,840.5916137695312,263.8369445800781,-0.0021916485777049694
7,mlp.down_proj,896,4864,4358144,3.87249755859375,817.6760864257812,113.77507781982422,-0.005384160368106302
8,self_attn.q_proj,896,896,802816,4.814646244049072,491.51080322265625,25.757713317871094,-0.009131481889430637
8,self_attn.k_proj,128,896,114688,2.295398712158203,103.4913330078125,24.671438217163086,-0.011504220826472003
8,self_attn.v_proj,128,896,114688,0.9810715913772583,123.0871353149414,40.281768798828125,-0.005031697522301307
8,self_attn.o_proj,896,896,802816,1.800843358039856,531.9695434570312,88.26172637939453,-0.004717999824319348
8,mlp.gate_proj,4864,896,4358144,6.5666937828063965,793.5985717773438,54.91659164428711,-0.006537448452451286
8,mlp.up_proj,4864,896,4358144,2.5269434452056885,832.2495727539062,285.2444152832031,-0.0024410619390207305
8,mlp.down_proj,896,4864,4358144,4.471449375152588,790.0513305664062,84.55247497558594,-0.005897359625050874
9,self_attn.q_proj,896,896,802816,2.8417017459869385,443.63818359375,58.54807662963867,-0.009419500238292817
9,self_attn.k_proj,128,896,114688,1.4966036081314087,103.92234802246094,33.75718307495117,-0.012344488044607969
9,self_attn.v_proj,128,896,114688,0.8153273463249207,120.04269409179688,60.840938568115234,-0.004567145650708302
9,self_attn.o_proj,896,896,802816,1.6506673097610474,509.9127502441406,98.06888580322266,-0.006320989147278963
9,mlp.gate_proj,4864,896,4358144,5.917088508605957,793.8744506835938,60.700462341308594,-0.006456383692967145
9,mlp.up_proj,4864,896,4358144,2.5805585384368896,834.4993286132812,270.9294738769531,-0.003013076571809063
9,mlp.down_proj,896,4864,4358144,5.193920612335205,791.2469482421875,62.1934928894043,-0.005308236636139537
10,self_attn.q_proj,896,896,802816,2.5702106952667236,484.7826232910156,64.06023406982422,-0.008748012340385396
10,self_attn.k_proj,128,896,114688,1.6982423067092896,98.91880798339844,25.795434951782227,-0.015619450703885015
10,self_attn.v_proj,128,896,114688,0.8452953696250916,123.96862030029297,74.84365844726562,-0.0038552439764769743
10,self_attn.o_proj,896,896,802816,1.809281349182129,534.4111328125,96.11077880859375,-0.004670874439793956
10,mlp.gate_proj,4864,896,4358144,6.004364013671875,776.477294921875,63.32827377319336,-0.007430955240905507
10,mlp.up_proj,4864,896,4358144,2.583132028579712,821.885009765625,266.44744873046875,-0.003269369039179632
10,mlp.down_proj,896,4864,4358144,5.503373146057129,781.9581298828125,53.50354766845703,-0.006189648546414932
11,self_attn.q_proj,896,896,802816,3.424929141998291,392.3160095214844,33.09067916870117,-0.010021579301073443
11,self_attn.k_proj,128,896,114688,1.3553868532180786,95.23136901855469,35.630645751953125,-0.01347828989096592
11,self_attn.v_proj,128,896,114688,0.8447426557540894,118.892822265625,52.5734748840332,-0.00639665903550856
11,self_attn.o_proj,896,896,802816,3.084770441055298,428.1054992675781,29.717418670654297,-0.01200935185303563
11,mlp.gate_proj,4864,896,4358144,5.271200656890869,789.59228515625,70.03426361083984,-0.006185751273245597
11,mlp.up_proj,4864,896,4358144,2.5981526374816895,825.80078125,263.77923583984375,-0.0033414330469928788
11,mlp.down_proj,896,4864,4358144,5.278243064880371,776.4019775390625,60.228633880615234,-0.006384370286331514
12,self_attn.q_proj,896,896,802816,2.4842569828033447,483.88543701171875,69.04712677001953,-0.008869827868273623
12,self_attn.k_proj,128,896,114688,1.7608617544174194,101.13138580322266,22.51126480102539,-0.013037641747684368
12,self_attn.v_proj,128,896,114688,0.8485737442970276,124.58910369873047,63.832000732421875,-0.004524843742040705
12,self_attn.o_proj,896,896,802816,1.9496662616729736,519.265625,80.00576782226562,-0.006046774649426289
12,mlp.gate_proj,4864,896,4358144,5.456264495849609,785.1991577148438,69.36629486083984,-0.0066550225374244374
12,mlp.up_proj,4864,896,4358144,2.6770660877227783,823.8145141601562,264.9717712402344,-0.0034091284027793893
12,mlp.down_proj,896,4864,4358144,5.005722522735596,783.3121948242188,69.5298080444336,-0.006544535957795363
13,self_attn.q_proj,896,896,802816,2.636199951171875,431.3516540527344,63.06343078613281,-0.00891512860595197
13,self_attn.k_proj,128,896,114688,1.4390697479248047,102.10515594482422,34.17059326171875,-0.012756803342393309
13,self_attn.v_proj,128,896,114688,0.8605009913444519,121.29888153076172,59.853057861328125,-0.006138183558257399
13,self_attn.o_proj,896,896,802816,1.8064156770706177,509.3786926269531,89.07189178466797,-0.006145023579296446
13,mlp.gate_proj,4864,896,4358144,5.333798885345459,787.70068359375,68.29435729980469,-0.006384831553686671
13,mlp.up_proj,4864,896,4358144,2.866600751876831,825.1805419921875,238.67422485351562,-0.0036981377614177576
13,mlp.down_proj,896,4864,4358144,4.502679824829102,792.95849609375,88.5849609375,-0.0066779650488506676
14,self_attn.q_proj,896,896,802816,2.782031297683716,473.2613830566406,52.8250846862793,-0.008679224798394421
14,self_attn.k_proj,128,896,114688,1.5250661373138428,99.90058898925781,25.984914779663086,-0.014373663574341604
14,self_attn.v_proj,128,896,114688,0.8754209280014038,125.54088592529297,71.41548919677734,-0.004284664830909328
14,self_attn.o_proj,896,896,802816,1.9071435928344727,507.6533508300781,87.43687438964844,-0.005320615043706725
14,mlp.gate_proj,4864,896,4358144,5.458469867706299,791.7930908203125,69.65849304199219,-0.005703986931469406
14,mlp.up_proj,4864,896,4358144,2.7657310962677,822.125244140625,255.52638244628906,-0.0033835089905358117
14,mlp.down_proj,896,4864,4358144,3.8363351821899414,798.4447021484375,120.70891571044922,-0.005103596612374425
15,self_attn.q_proj,896,896,802816,2.423403263092041,474.2295227050781,67.62071228027344,-0.008380569866261428
15,self_attn.k_proj,128,896,114688,1.3739392757415771,102.70629119873047,38.23430252075195,-0.012110192351057722
15,self_attn.v_proj,128,896,114688,1.0079646110534668,119.60816955566406,49.15068054199219,-0.0063807981888100085
15,self_attn.o_proj,896,896,802816,2.4082870483398438,470.7707214355469,52.57365417480469,-0.010581502547119174
15,mlp.gate_proj,4864,896,4358144,6.018365859985352,794.0204467773438,56.7106819152832,-0.005624566199906153
15,mlp.up_proj,4864,896,4358144,2.6685874462127686,828.72216796875,287.85516357421875,-0.002429540077354009
15,mlp.down_proj,896,4864,4358144,3.41999888420105,799.21533203125,159.78770446777344,-0.0038624582095788066
16,self_attn.q_proj,896,896,802816,3.437751531600952,374.46795654296875,45.91762161254883,-0.010028609043266976
16,self_attn.k_proj,128,896,114688,1.7183679342269897,90.22682189941406,20.37367057800293,-0.018792988243054393
16,self_attn.v_proj,128,896,114688,0.8489092588424683,121.72272491455078,61.751617431640625,-0.005169840864905399
16,self_attn.o_proj,896,896,802816,1.961870551109314,444.38946533203125,91.87980651855469,-0.005148716873383564
16,mlp.gate_proj,4864,896,4358144,5.927635669708252,801.7494506835938,65.11466979980469,-0.00482496283129675
16,mlp.up_proj,4864,896,4358144,4.052712917327881,823.8062744140625,115.9463119506836,-0.0032825323906573575
16,mlp.down_proj,896,4864,4358144,3.556954860687256,834.4776000976562,137.38746643066406,-0.003295458341529081
17,self_attn.q_proj,896,896,802816,3.086890459060669,478.1695251464844,45.73106002807617,-0.01001976125911151
17,self_attn.k_proj,128,896,114688,1.6910895109176636,100.5450439453125,20.976001739501953,-0.01393046217362408
17,self_attn.v_proj,128,896,114688,0.9567659497261047,121.97686767578125,60.77423095703125,-0.00555138292231157
17,self_attn.o_proj,896,896,802816,2.0245020389556885,534.8591918945312,82.8171615600586,-0.006202599024502457
17,mlp.gate_proj,4864,896,4358144,6.421849727630615,808.0722045898438,59.66835021972656,-0.004865954940517745
17,mlp.up_proj,4864,896,4358144,2.827969789505005,827.5218505859375,226.49559020996094,-0.002743119586791309
17,mlp.down_proj,896,4864,4358144,3.643970251083374,830.3414306640625,127.21157836914062,-0.0031023122697741105
18,self_attn.q_proj,896,896,802816,2.5993263721466064,509.014892578125,60.676963806152344,-0.008363312935872828
18,self_attn.k_proj,128,896,114688,1.3605449199676514,108.25830078125,35.318756103515625,-0.010650891765176859
18,self_attn.v_proj,128,896,114688,1.0502761602401733,125.02384185791016,69.35765838623047,-0.004201379364898818
18,self_attn.o_proj,896,896,802816,1.8422094583511353,535.1516723632812,105.47101593017578,-0.0045915886838221055
